Employee #,Username,Password,Permission
1,garcia_manuel13,12345,Employee
2,lim_antonio,12345,Employee
3,aquino_bianca,12345,Employee
4,reyes_isabella,12345,Employee
5,hernandez_eduard,12345,Employee
6,villanueva_andrea,12345,Employee
10003,sanjose_brad,12345,Employee
10005,romualdez_alice,12345,Employee
10006,atienza_rosie,12345,Employee
10,alvaro_roderick,12345,Employee
10004,salcedo_anthony,12345,Employee
10011,lopez_josie,12345,Employee
10007,farala_martha,12345,Employee
10008,martinez_leila,12345,Employee
10013,romualdez_fredrick,12345,Employee
10002,mata_christian,12345,Employee
10012,deleon_selena,12345,Employee
10009,sanjose_allison,12345,Employee
10010,rosario_cydney,12345,Employee
10014,bautista_mark,12345,Employee
10015,lazaro_darlene,12345,Employee
10016,delossantos_kolby,12345,Employee
10017,santos_vella,12345,Employee
10018,delrosario_tomas,12345,Employee
10019,tolentino_jacklyn,12345,Employee
10020,gutierrez_percival,12345,Employee
10021,manalaysay_garfield,12345,Employee
10022,villegas_lizeth,12345,Employee
10023,ramos_carol,12345,Employee
10024,maceda_emelia,12345,Employee
10025,aguilar_delia,12345,Employee
32,castro_johnrafael,12345,Admin
33,martinez_carlosian,12345,Admin
34,santos_beatriz,12345,Admin
