Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
1,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820000000000,442-605-657-000,691000000000,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71
2,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,332000000000,683-102-776-000,664000000000,Regular,Chief Operating Officer,Garcia  Manuel III,60000,1500,2000,1000,30000,357.14
3,Aquino,Bianca Sofia,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177000000000,971-711-280-000,172000000000,Regular,Chief Finance Officer,Garcia  Manuel III,60000,1500,2000,1000,30000,357.14
10003,San Jose,Brad ,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239000000000,672-474-690-000,211000000000,Regular,HR Team Leader,Villanueva  Andrea Mae,42975,1500,800,800,21487.5,255.8
10005,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,546000000000,888-572-294-000,211000000000,Regular,HR Rank and File,San  Jose Brad,22500,1500,500,500,11250,133.93
10006,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,709000000000,604-997-793-000,260000000000,Regular,HR Rank and File,San  Jose Brad,22500,1500,500,500,11250,133.93
10004,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183  Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,126000000000,210-805-911-000,218000000000,Regular,Payroll Manager,Alvaro  Roderick,50825,1500,1000,1000,25412.5,302.53
10011,Lopez,Josie ,01/14/1987,49 Springs Apt. 266  Poblacion  Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,432000000000,218-489-737-000,113000000000,Regular,Payroll Team Leader,Salcedo  Anthony,38475,1500,800,800,19237.5,229.02
10007,Farala,Martha,01/11/1942,42/25 Sawayn Stream  Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,234000000000,210-835-851-000,631000000000,Regular,Payroll Rank and File,Salcedo  Anthony,24000,1500,500,500,12000,142.86
10008,Martinez,Leila,07/11/1970,37/46 Kulas Roads  Maragondon 0962 Quirino ,877-110-749,27-2090996-4,516000000000,275-792-513-000,101000000000,Regular,Payroll Rank and File,Salcedo  Anthony,24000,1500,500,500,12000,142.86
10013,Romualdez,Fredrick ,03/10/1985,22A/52 Lubowitz Meadows  Pililla 4895 Zambales,023-079-009,26-8768374-1,308000000000,598-065-761-000,223000000000,Regular,Account Manager,Lim  Antonio,53500,1500,1000,1000,26750,318.45
10002,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379  Catigbian 2772 Sulu ,783-776-744,49-2959312-6,824000000000,103-100-522-000,631000000000,Regular,Account Team Leader,Romualdez  Fredrick ,42975,1500,800,800,21487.5,255.8
10012,De Leon,Selena ,02/20/1975,89A Armstrong Trace  Compostela 7874 Maguindanao,975-432-139,27-2090208-8,587000000000,482-259-498-000,719000000000,Regular,Account Team Leader,Romualdez  Fredrick ,41850,1500,800,800,20925,249.11
10009,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406  Poblacion  Iloilo City 9186 La Union,179-075-129,45-3251383-0,745000000000,121-203-336-000,115000000000,Regular,Account Rank and File,Mata  Christian,22500,1500,500,500,11250,133.93
10010,Rosario,Cydney ,10/06/1996,93A/21 Berge Points  Tapaz 2180 Quezon,868-819-912,49-1629900-2,579000000000,122-244-511-000,265000000000,Regular,Account Rank and File,Mata  Christian,22500,1500,500,500,11250,133.93
10014,Bautista,Mark ,02/12/1991,65 Murphy Center Suite 094  Poblacion  Palayan 5636 Quirino,683-725-348,49-1647342-5,400000000000,273-970-941-000,260000000000,Regular,Account Rank and File,Mata  Christian,23250,1500,500,500,11625,138.39
10015,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179  Poblacion  Caloocan 2751 Quirino,Mapua,45-5617168-2,606000000000,354-650-951-000,105000000000,Probationary,Account Rank and File,Mata  Christian,23250,1500,500,500,11625,138.39
10016,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions  Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,357000000000,187-500-345-000,113000000000,Probationary,Account Rank and File,Mata  Christian,24000,1500,500,500,12000,142.86
10017,Santos,Vella ,12/31/1983,99A Padberg Spring  Poblacion  Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,549000000000,101-558-994-000,360000000000,Probationary,Account Rank and File,Mata  Christian,22500,1500,500,500,11250,133.93
10018,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges  Poblacion  Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,954000000000,560-735-732-000,913000000000,Probationary,Account Rank and File,Mata  Christian,22500,1500,500,500,11250,133.93
10019,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734  Poblacion  Malolos 1844 Ifugao,675-757-366,47-1692793-0,754000000000,841-177-857-000,211000000000,Probationary,Account Rank and File,De Leon  Selena,24000,1500,500,500,12000,142.86
10020,Gutierrez,Percival ,12/18/1970,58A Wilderman Walks  Poblacion  Digos 5822 Davao del Sur,512-899-876,40-9504657-8,798000000000,502-995-671-000,211000000000,Probationary,Account Rank and File,De Leon  Selena,24750,1500,500,500,12375,147.32
10021,Manalaysay,Garfield ,08/28/1986,60 Goyette Valley Suite 219  Poblacion  Tabuk 3159 Lanao del Sur,948-628-136,45-3298166-4,811000000000,336-676-445-000,211000000000,Probationary,Account Rank and File,De Leon  Selena,24750,1500,500,500,12375,147.32
10022,Villegas,Lizeth ,12/12/1981,66/77 Mann Views  Luisiana 1263 Dinagat Islands,332-372-215,40-2400719-4,934000000000,210-395-397-000,122000000000,Probationary,Account Rank and File,De Leon  Selena,24000,1500,500,500,12000,142.86
10023,Ramos,Carol ,08/20/1978,72/70 Stamm Spurs  Bustos 4550 Iloilo,250-700-389,60-1152206-4,352000000000,395-032-717-000,212000000000,Probationary,Account Rank and File,De Leon  Selena,22500,1500,500,500,11250,133.93
10024,Maceda,Emelia ,04/14/1973,50A/83 Bahringer Oval Suite 145  Kiamba 7688 Nueva Ecija,973-358-041,54-1331005-0,465000000000,215-973-013-000,515000000000,Probationary,Account Rank and File,De Leon  Selena,22500,1500,500,500,11250,133.93
10025,Aguilar,Delia ,01/27/1989,95 Cremin Junction  Surallah 2809 Cotabato,529-705-439,52-1859253-1,136000000000,599-312-588-000,110000000000,Probationary,Account Rank and File,De Leon  Selena,22500,1500,500,500,11250,133.93
10028,Bermudez,John,01/01/2001,Cebu,09123456789,Admin,1234578,1234578,1234578,1234578,Regular,Admin,100000,10000,1000,1500
10032,Arlo,Dino,09/09/9999,plokojiuuhj,09756874111,Posittt,9689652,9689652,9689652,9689652,Regu,Posittt,50000,10000,5000,500
10035,Inside,Out,01/01/2001,Brainz,09356469852,788923,9746138451,9746138451,9746138451,Stats,Posss,9746138451,9746138451,9746138451,9746138451
